date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-02-14,254.0,1249.8847,,,,,0,0,0,0,0,0,0,0
1947-02-15,245.6,1249.9213,,,,,0,0,0,0,0,0,0,0
1947-02-16,237.20000000000002,1249.9579,,,,,0,0,0,0,0,0,0,0
1947-02-17,228.8,1249.9945,,,,,0,0,0,0,0,0,0,0
1947-02-18,203.9,1250.03105,,,,,0,0,0,0,0,0,0,0
1947-02-19,179.0,1250.0676,,,,,0,0,0,0,0,0,0,0
1947-02-20,163.7,1250.1042,,,,,0,0,0,0,0,0,0,0
1947-02-21,163.85,1250.140775,,,,,0,0,0,0,0,0,0,0
1947-02-22,164.0,1250.17735,,,,,0,0,0,0,0,0,0,0
1947-02-23,164.15,1250.213925,,,,,0,0,0,0,0,0,0,0
1947-02-24,164.3,1250.2505,,,,,0,0,0,0,0,0,0,0
1947-02-25,192.8,1250.2871,,,,,0,0,0,0,0,0,0,0
1947-02-26,171.2,1250.3237,,,,,0,0,0,0,0,0,0,0
1947-02-27,202.35,1250.36025,,,,,0,0,0,0,0,0,0,0
1947-02-28,233.5,1250.3968,197.89,,,,0,1,0,0,0,1,0,1
1947-03-01,248.02,1250.4334,197.89,,,,0,1,0,0,0,1,0,1
1947-03-02,262.54,1250.47,197.89,,,,0,1,0,0,0,1,0,1
1947-03-03,277.06,1250.5066,197.89,,,,0,1,0,0,0,1,0,1
1947-03-04,291.58000000000004,1250.5432,197.89,,,,0,1,0,0,0,1,0,1
1947-03-05,306.1,1250.5798,197.89,,,,0,1,0,0,0,1,0,1
1947-03-06,305.9,1250.6164,197.89,,,,0,1,0,0,0,1,0,1
1947-03-07,321.3,1250.653,197.89,,,,0,1,0,0,0,1,0,1
1947-03-08,345.4,1250.6896,197.89,,,,0,1,0,0,0,1,0,1
1947-03-09,335.6,1250.72615,197.89,,,,0,1,0,0,0,1,0,1
