date,f107_obs,f107_adj,f107_ursi,n_days,n_measurements
1947-02-28,202.8,198.4,178.6,8,8
1947-03-31,235.7,233.4,210.1,24,24
1947-04-30,264.2,265.8,239.3,24,24
1947-05-31,261.2,267.1,240.4,26,26
1947-06-30,226.6,233.8,210.4,24,24
1947-07-31,215.2,222.2,200.0,26,26
1947-08-31,231.2,237.1,213.4,26,26
1947-09-30,199.7,201.9,181.7,25,25
1947-10-31,209.1,207.6,186.9,26,26
1947-11-30,179.8,175.8,158.2,24,24
1947-12-31,176.4,170.9,153.8,27,27
1948-01-31,155.7,150.7,135.6,26,26
1948-02-29,134.3,131.0,117.9,26,26
1948-03-31,135.5,134.1,120.7,26,26
1948-04-30,208.1,209.8,188.8,28,28
1948-05-31,226.5,231.5,208.4,26,26
1948-06-30,195.5,201.8,181.6,26,26
1948-07-31,182.8,188.7,169.8,28,28
1948-08-31,172.8,177.2,159.5,29,29
1948-09-30,163.7,165.5,148.9,23,23
1948-10-31,159.2,158.0,142.2,29,29
1948-11-30,165.4,161.8,145.6,26,26
1948-12-31,193.3,187.2,168.5,27,27
1949-01-31,183.5,177.7,159.9,26,26
1949-02-28,220.2,214.9,193.4,25,25
1949-03-31,203.9,201.8,181.6,28,28
1949-04-30,182.5,183.9,165.5,25,25
1949-05-31,154.9,158.4,142.5,25,25
1949-06-30,157.5,162.6,146.3,28,28
1949-07-31,159.9,165.1,148.5,29,29
1949-08-31,175.2,179.4,161.5,29,29
1949-09-30,172.5,174.3,156.9,27,27
1949-10-31,178.2,177.1,159.4,28,28
1949-11-30,180.4,176.4,158.8,26,26
1949-12-31,165.2,160.1,144.1,24,24
1950-01-31,150.7,146.0,131.4,24,24
1950-02-28,143.3,139.9,125.9,23,23
1950-03-31,137.8,136.4,122.8,26,26
1950-04-30,164.3,165.5,148.9,20,20
1950-05-31,157.1,160.5,144.5,23,23
1950-06-30,128.7,132.8,119.5,22,22
1950-07-31,134.1,138.5,124.6,18,18
1950-08-31,120.9,123.9,111.5,22,22
1950-09-30,98.5,99.6,89.6,24,24
