date,time,datetime,julian_date,carrington_rotation,f107_obs,f107_adj,f107_ursi,source
2000-05-15,1700,2000-05-15 17:00:00,2451680.208,1962.953,871.5,890.9,801.8,F107_1996_2007
2001-04-02,2300,2001-04-02 23:00:00,2452002.458,1974.768,563.1,562.9,506.6,F107_1996_2007
2001-04-05,1700,2001-04-05 17:00:00,2452005.208,1974.869,582.5,583.2,524.9,F107_1996_2007
2001-04-06,2000,2001-04-06 20:00:00,2452006.333,1974.91,563.5,564.5,508.0,F107_1996_2007
2001-08-25,1700,2001-08-25 17:00:00,2452147.208,1980.075,501.6,512.4,461.1,F107_1996_2007
2001-12-28,2000,2001-12-28 20:00:00,2452272.333,1984.662,655.6,634.0,570.6,F107_1996_2007
2003-11-04,2000,2003-11-04 20:00:00,2452948.333,2009.447,560.9,551.6,496.4,F107_1996_2007
2005-09-09,200000,2005-09-09 20:00:00,2453623.337,2034.195,707.6,717.6,645.8,fluxtable
2005-09-10,230000,2005-09-10 23:00:00,2453624.462,2034.236,629.8,638.3,574.5,fluxtable
2006-12-06,200000,2006-12-06 20:00:00,2454076.337,2050.803,573.4,556.6,500.9,fluxtable
2011-03-07,200000,2011-03-07 20:00:00,2455628.322,2107.707,938.6,924.4,832.0,fluxtable
2014-01-07,180000,2014-01-07 18:00:00,2456665.239,2145.723,592.4,572.8,515.5,fluxtable
2015-06-18,170000,2015-06-18 17:00:00,2457192.197,2165.043,568.3,586.7,528.0,fluxtable
2019-09-17,230000,2019-09-17 23:00:00,2458743.583,2221.9197,1645.2,1661.8,1645.2,fluxtable
2023-12-14,180000,2023-12-14 18:00:00,2460293.239,2278.738,852.3,825.9,743.3,fluxtable
