horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2
1,persistence,Persistence,23150,5788,3.700708362128542,5.8064271784918855,0.9794258260661401
1,current_only,Ridge,23150,5788,3.727853559584272,5.7926311399613954,0.9795234781623405
1,current_only,HistGradientBoosting,23150,5788,3.7357686143267377,5.8447143289104275,0.9791536023482159
1,current_only,RandomForest,23150,5788,3.8425087261509927,6.004868043380464,0.9779955065131479
7,persistence,Persistence,23145,5787,14.868290997062381,22.60805608474288,0.6880922081773259
7,current_only,HistGradientBoosting,23145,5787,15.019685129526028,22.004705717415966,0.7045180815812412
7,current_only,RandomForest,23145,5787,15.230618649381437,22.410261647144853,0.6935260015090662
7,current_only,Ridge,23145,5787,15.50108280261784,21.807303274121516,0.7097957909649076
27,persistence,Persistence,23129,5783,13.947138163582913,20.43713212589734,0.7451465636927397
27,current_only,HistGradientBoosting,23129,5783,14.29427839784265,20.215966645898753,0.7506326367393126
27,current_only,RandomForest,23129,5783,14.480852833154378,20.689759250387027,0.738807042597504
27,current_only,Ridge,23129,5783,14.542585163097119,19.810252864813812,0.7605412966151748
81,persistence,Persistence,23086,5772,18.122089397089393,26.455880698388658,0.5732349255020919
81,current_only,HistGradientBoosting,23086,5772,18.184459188593042,25.626949015966407,0.5995592802334009
81,current_only,RandomForest,23086,5772,18.372390336762816,26.09858037290726,0.5846844492513974
81,current_only,Ridge,23086,5772,18.52617701145786,25.034266314722363,0.6178673382149864
180,current_only,HistGradientBoosting,23007,5752,20.098386839150482,27.770989201482152,0.5306276823612721
180,current_only,RandomForest,23007,5752,20.34074132506876,28.40819390429041,0.508841097124096
180,persistence,Persistence,23007,5752,20.964655771905427,30.637321440616066,0.42873665365574243
180,current_only,Ridge,23007,5752,21.18438642029812,28.382565527705506,0.5097268927808692
365,current_only,HistGradientBoosting,22859,5715,24.384482378825766,31.70906226233548,0.38924694441922625
365,current_only,RandomForest,22859,5715,24.667006199917033,32.258755562643884,0.3678879486207045
365,current_only,Ridge,22859,5715,25.449168695600754,32.30809593417099,0.3659528153692865
365,persistence,Persistence,22859,5715,25.737585301837267,36.14969715709152,0.20620533154380372
730,current_only,Ridge,22567,5642,32.11488240462643,38.797500065714644,0.08993356409030562
730,current_only,HistGradientBoosting,22567,5642,32.87742720540273,39.74017889927588,0.04517177562397823
730,current_only,RandomForest,22567,5642,33.12618578877572,40.29158025166324,0.018491162689115104
730,persistence,Persistence,22567,5642,34.98645870258774,45.6194581305009,-0.25824686564451604
