horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,MAE_current_only,improvement_vs_current_only_%
1,current_only,HistGradientBoosting,19965,4992,3.764,5.921,0.981,3.764,0.0
1,standard_lag_rolling,Ridge,19965,4992,3.248,5.235,0.985,3.774,13.934
1,standard_plus_structural,Ridge,19965,4992,3.274,5.236,0.985,3.774,13.232
1,structural_all,Ridge,19965,4992,3.744,5.896,0.981,3.774,0.78
7,current_only,HistGradientBoosting,19965,4992,15.079,22.331,0.723,15.079,0.0
7,standard_lag_rolling,Ridge,19965,4992,11.33,16.774,0.844,15.771,28.158
7,standard_plus_structural,Ridge,19965,4992,11.519,16.779,0.843,15.771,26.961
7,structural_all,HistGradientBoosting,19965,4992,13.559,20.385,0.769,15.079,10.085
27,current_only,HistGradientBoosting,19965,4992,14.192,20.295,0.771,14.192,0.0
27,standard_lag_rolling,Ridge,19965,4992,13.135,19.141,0.796,14.759,11.004
27,standard_plus_structural,Ridge,19965,4992,13.382,18.873,0.802,14.759,9.332
27,structural_all,HistGradientBoosting,19965,4992,13.515,19.627,0.786,14.192,4.773
81,current_only,HistGradientBoosting,19965,4992,17.799,25.429,0.641,17.799,0.0
81,standard_lag_rolling,Ridge,19965,4992,16.098,23.471,0.694,18.422,12.615
81,standard_plus_structural,HistGradientBoosting,19965,4992,16.072,23.449,0.694,17.799,9.702
81,structural_all,RandomForest,19965,4992,15.776,22.865,0.709,18.033,12.519
180,current_only,HistGradientBoosting,19965,4992,19.905,28.114,0.561,19.905,0.0
180,standard_lag_rolling,Ridge,19965,4992,19.606,28.581,0.546,21.491,8.772
180,standard_plus_structural,HistGradientBoosting,19965,4992,18.022,26.517,0.609,19.905,9.457
180,structural_all,HistGradientBoosting,19965,4992,17.301,24.519,0.666,19.905,13.079
365,current_only,HistGradientBoosting,19965,4992,24.652,32.026,0.43,24.652,0.0
365,standard_lag_rolling,Ridge,19965,4992,24.618,31.444,0.45,26.049,5.495
365,standard_plus_structural,HistGradientBoosting,19965,4992,20.59,28.737,0.541,24.652,16.478
365,structural_all,HistGradientBoosting,19965,4992,19.823,26.655,0.605,24.652,19.588
730,current_only,Ridge,19965,4992,33.375,40.122,0.105,33.375,0.0
730,standard_lag_rolling,HistGradientBoosting,19965,4992,30.771,38.942,0.157,33.679,8.637
730,standard_plus_structural,HistGradientBoosting,19965,4992,24.551,31.46,0.45,33.679,27.105
730,structural_all,HistGradientBoosting,19965,4992,24.422,31.148,0.461,33.679,27.488
