horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,MAE_current_only,improvement_vs_current_only_%
1,current_only,Ridge,23085,5772,3.732,5.8,0.979,3.732,0.0
1,rotation_all,Ridge,23085,5772,3.721,5.781,0.98,3.732,0.297
1,rotation_differences,Ridge,23085,5772,3.707,5.777,0.98,3.732,0.682
1,rotation_lags,Ridge,23085,5772,3.707,5.777,0.98,3.732,0.681
1,rotation_local_stats,Ridge,23085,5772,3.704,5.769,0.98,3.732,0.75
1,rotation_phase,Ridge,23085,5772,3.743,5.809,0.979,3.732,-0.283
7,current_only,HistGradientBoosting,23080,5771,14.947,21.992,0.705,14.947,0.0
7,rotation_all,Ridge,23080,5771,12.629,18.366,0.794,15.472,18.37
7,rotation_differences,Ridge,23080,5771,14.103,20.396,0.746,15.472,8.843
7,rotation_lags,HistGradientBoosting,23080,5771,14.038,20.583,0.742,14.947,6.079
7,rotation_local_stats,Ridge,23080,5771,12.603,18.396,0.794,15.472,18.544
7,rotation_phase,HistGradientBoosting,23080,5771,15.08,22.2,0.7,14.947,-0.891
14,current_only,HistGradientBoosting,23075,5769,18.398,26.326,0.578,18.398,0.0
14,rotation_all,Ridge,23075,5769,12.898,18.412,0.793,18.991,32.083
14,rotation_differences,Ridge,23075,5769,16.643,23.518,0.663,18.991,12.36
14,rotation_lags,Ridge,23075,5769,16.643,23.518,0.663,18.991,12.362
14,rotation_local_stats,Ridge,23075,5769,13.055,18.693,0.787,18.991,31.254
14,rotation_phase,HistGradientBoosting,23075,5769,18.52,26.422,0.574,18.398,-0.661
27,current_only,HistGradientBoosting,23064,5767,14.29,20.239,0.75,14.29,0.0
27,rotation_all,Ridge,23064,5767,13.039,18.504,0.791,14.566,10.484
27,rotation_differences,Ridge,23064,5767,13.397,18.949,0.781,14.566,8.024
27,rotation_lags,Ridge,23064,5767,13.397,18.95,0.781,14.566,8.026
27,rotation_local_stats,Ridge,23064,5767,13.008,18.471,0.792,14.566,10.694
27,rotation_phase,HistGradientBoosting,23064,5767,14.354,20.279,0.749,14.29,-0.442
81,current_only,HistGradientBoosting,23021,5756,18.244,25.554,0.602,18.244,0.0
81,rotation_all,Ridge,23021,5756,16.381,23.086,0.676,18.549,11.688
81,rotation_differences,Ridge,23021,5756,17.159,23.879,0.653,18.549,7.494
81,rotation_lags,HistGradientBoosting,23021,5756,17.137,24.265,0.642,18.244,6.067
81,rotation_local_stats,Ridge,23021,5756,16.358,23.082,0.676,18.549,11.812
81,rotation_phase,HistGradientBoosting,23021,5756,18.279,25.611,0.601,18.244,-0.191
