horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,MAE_current_only,improvement_vs_current_only_%
1,rotation_phase,HistGradientBoosting,23085,5772,3.762,5.806,0.979,3.759,-0.085
1,rotation_all,HistGradientBoosting,23085,5772,3.764,5.828,0.979,3.759,-0.14
1,rotation_local_stats,HistGradientBoosting,23085,5772,3.772,5.858,0.979,3.759,-0.357
1,rotation_lags,HistGradientBoosting,23085,5772,3.776,5.833,0.979,3.759,-0.462
1,rotation_differences,HistGradientBoosting,23085,5772,3.797,5.843,0.979,3.759,-1.018
1,rotation_local_stats,Ridge,23085,5772,3.704,5.769,0.98,3.732,0.75
1,rotation_lags,Ridge,23085,5772,3.707,5.777,0.98,3.732,0.681
1,rotation_differences,Ridge,23085,5772,3.707,5.777,0.98,3.732,0.682
1,rotation_all,Ridge,23085,5772,3.721,5.781,0.98,3.732,0.297
1,rotation_phase,Ridge,23085,5772,3.743,5.809,0.979,3.732,-0.283
7,rotation_all,HistGradientBoosting,23080,5771,12.939,18.773,0.785,14.947,13.43
7,rotation_local_stats,HistGradientBoosting,23080,5771,12.985,18.849,0.783,14.947,13.124
7,rotation_lags,HistGradientBoosting,23080,5771,14.038,20.583,0.742,14.947,6.079
7,rotation_differences,HistGradientBoosting,23080,5771,14.126,20.703,0.739,14.947,5.49
7,rotation_phase,HistGradientBoosting,23080,5771,15.08,22.2,0.7,14.947,-0.891
7,rotation_local_stats,Ridge,23080,5771,12.603,18.396,0.794,15.472,18.544
7,rotation_all,Ridge,23080,5771,12.629,18.366,0.794,15.472,18.37
7,rotation_lags,Ridge,23080,5771,14.103,20.396,0.746,15.472,8.846
7,rotation_differences,Ridge,23080,5771,14.103,20.396,0.746,15.472,8.843
7,rotation_phase,Ridge,23080,5771,15.535,21.916,0.707,15.472,-0.409
14,rotation_all,HistGradientBoosting,23075,5769,13.746,20.06,0.755,18.398,25.286
14,rotation_local_stats,HistGradientBoosting,23075,5769,14.089,20.541,0.743,18.398,23.421
14,rotation_lags,HistGradientBoosting,23075,5769,16.706,23.889,0.652,18.398,9.197
14,rotation_differences,HistGradientBoosting,23075,5769,16.84,24.108,0.646,18.398,8.471
14,rotation_phase,HistGradientBoosting,23075,5769,18.52,26.422,0.574,18.398,-0.661
14,rotation_all,Ridge,23075,5769,12.898,18.412,0.793,18.991,32.083
14,rotation_local_stats,Ridge,23075,5769,13.055,18.693,0.787,18.991,31.254
14,rotation_lags,Ridge,23075,5769,16.643,23.518,0.663,18.991,12.362
14,rotation_differences,Ridge,23075,5769,16.643,23.518,0.663,18.991,12.36
14,rotation_phase,Ridge,23075,5769,19.082,26.088,0.585,18.991,-0.483
27,rotation_all,HistGradientBoosting,23064,5767,13.315,19.191,0.776,14.29,6.827
27,rotation_local_stats,HistGradientBoosting,23064,5767,13.405,19.401,0.771,14.29,6.198
27,rotation_lags,HistGradientBoosting,23064,5767,13.467,19.31,0.773,14.29,5.763
27,rotation_differences,HistGradientBoosting,23064,5767,13.587,19.421,0.77,14.29,4.92
27,rotation_phase,HistGradientBoosting,23064,5767,14.354,20.279,0.749,14.29,-0.442
27,rotation_local_stats,Ridge,23064,5767,13.008,18.471,0.792,14.566,10.694
27,rotation_all,Ridge,23064,5767,13.039,18.504,0.791,14.566,10.484
27,rotation_lags,Ridge,23064,5767,13.397,18.95,0.781,14.566,8.026
27,rotation_differences,Ridge,23064,5767,13.397,18.949,0.781,14.566,8.024
27,rotation_phase,Ridge,23064,5767,14.568,19.833,0.76,14.566,-0.013
81,rotation_lags,HistGradientBoosting,23021,5756,17.137,24.265,0.642,18.244,6.067
81,rotation_local_stats,HistGradientBoosting,23021,5756,17.203,24.683,0.629,18.244,5.708
81,rotation_differences,HistGradientBoosting,23021,5756,17.24,24.343,0.639,18.244,5.506
81,rotation_all,HistGradientBoosting,23021,5756,17.253,24.614,0.631,18.244,5.436
81,rotation_phase,HistGradientBoosting,23021,5756,18.279,25.611,0.601,18.244,-0.191
81,rotation_local_stats,Ridge,23021,5756,16.358,23.082,0.676,18.549,11.812
81,rotation_all,Ridge,23021,5756,16.381,23.086,0.676,18.549,11.688
81,rotation_lags,Ridge,23021,5756,17.159,23.88,0.653,18.549,7.495
81,rotation_differences,Ridge,23021,5756,17.159,23.879,0.653,18.549,7.494
81,rotation_phase,Ridge,23021,5756,18.555,25.065,0.618,18.549,-0.034
