horizon_days,volatility_state,MAE,median_AE,n
1,high,5.554003200245029,4.224992420436223,609
1,normal,2.9717897147309262,1.649999828511092,5106
7,high,19.259931734811403,16.218550379465142,609
7,normal,10.28616099766985,6.226345581351495,5105
27,high,22.30455761684086,20.46805133612753,609
27,normal,11.93343717645665,7.399408840867153,5101
81,high,28.59340814074725,25.843951356101286,518
81,normal,14.291509048787619,9.028313800342879,4474
180,high,21.79955618232423,17.520092018310507,467
180,normal,16.837032334136246,10.42901782308246,4525
365,high,33.88497193955314,29.46934735471868,373
365,normal,18.6876547831823,14.200344834401875,4619
730,high,32.60104468963178,28.363305125769585,122
730,normal,24.21668708723584,20.422540502794646,4870
